Title,Release_year,Type,Streaming_platform,IMDB_ratings,Total_reviews,Genre,Runtime/Duration(mins),Age_rating,Production_country,url
Ghoomer  (2023),2023,movie,Zee5,7.6,11k,"Sport, Drama",135,,India,https://www.justwatch.com/in/movie/ghoomer
Khichdi 2  (2023),2023,movie,,,,"Comedy, Kids and Family",121,,India,https://www.justwatch.com/in/movie/khichdi-2
Antony  (2023),2023,movie,"Amazon Prime Video, aha",6.7,1k,"Drama, Kids and Family, Mystery and Thriller, Action and Adventure",147,,India,https://www.justwatch.com/in/movie/antony-2023
London Misal  (2023),2023,movie,Amazon Prime Video,,,Drama,139,,India,https://www.justwatch.com/in/movie/london-misal
May December  (2023),2023,movie,,6.9,47k,"Drama, Comedy",117,,United States,https://www.justwatch.com/in/movie/may-december
Kaatera  (2023),2023,movie,,7.6,2k,"Action and Adventure, Comedy, Drama, Kids and Family",183,UA,India,https://www.justwatch.com/in/movie/kaatera
Three of Us  (2023),2023,movie,Netflix,7.5,3k,Drama,99,,India,https://www.justwatch.com/in/movie/three-of-us
Shōgun  (2024),2024,series,Hotstar,9.2,28k,"Drama, War and Military, History",57,,United States,https://www.justwatch.com/in/tv-show/shogun-2024
Panchayat  (2020),2020,series,Amazon Prime Video,8.9,84k,"Comedy, Drama",33,,India,https://www.justwatch.com/in/tv-show/panchayat
Mirzapur  (2018),2018,series,Amazon Prime Video,8.5,81k,"Crime, Action and Adventure, Drama, Mystery and Thriller",50,,India,https://www.justwatch.com/in/tv-show/mirzapur
Game of Thrones  (2011),2011,series,Jio Cinema,9.2,2m,"Science-Fiction, Drama, Action and Adventure, Fantasy",59,U,United States,https://www.justwatch.com/in/tv-show/game-of-thrones
Avatar: The Last Airbender  (2024),2024,series,Netflix,7.3,53k,"Science-Fiction, Action and Adventure, Fantasy, Comedy, Drama, Kids and Family",54,,United States,https://www.justwatch.com/in/tv-show/avatar-the-last-airbender
Sunflower  (2021),2021,series,VI movies and tv,7.5,23k,"Crime, Comedy",37,A,India,https://www.justwatch.com/in/tv-show/sunflower-2021
Solo Leveling  (2024),2024,series,Crunchyroll,8.5,10k,"Action and Adventure, Fantasy, Animation, Science-Fiction",24,,"Japan, South Korea",https://www.justwatch.com/in/tv-show/solo-leveling-2024
True Detective  (2014),2014,series,Jio Cinema,8.9,649k,"Drama, Mystery and Thriller, Crime",61,U,United States,https://www.justwatch.com/in/tv-show/true-detective
Maharani  (2021),2021,series,"Sony Liv, VI movies and tv",7.9,9k,Drama,44,UA,India,https://www.justwatch.com/in/tv-show/maharani-2021
Young Sheldon  (2017),2017,series,"Amazon Prime Video, Netflix",7.6,97k,"Comedy, Kids and Family",19,U,United States,https://www.justwatch.com/in/tv-show/young-sheldon
Aarya  (2020),2020,series,Hotstar,7.9,13k,"Crime, Drama, Mystery and Thriller, Action and Adventure",46,,India,https://www.justwatch.com/in/tv-show/aarya
One Day  (2024),2024,series,Netflix,8.2,31k,"Comedy, Drama, Romance",29,A,United Kingdom,https://www.justwatch.com/in/tv-show/one-day
Poacher  (2023),2023,series,Amazon Prime Video,7.7,1k,"Crime, Drama",47,,"India, United States",https://www.justwatch.com/in/tv-show/poacher
Maamla Legal Hai  (2024),2024,series,Netflix,,,Drama,38,,India,https://www.justwatch.com/in/tv-show/maamla-legal-hai
Death and Other Details  (2024),2024,series,Hotstar,6.8,7k,"Mystery and Thriller, Drama, Crime",45,,United States,https://www.justwatch.com/in/tv-show/death-and-other-details
Mastram  (2020),2020,series,,7.1,2k,"Drama, Comedy, Fantasy",28,,India,https://www.justwatch.com/in/tv-show/mastram
Farzi  (2023),2023,series,Amazon Prime Video,8.4,44k,"Crime, Drama, Mystery and Thriller",56,,India,https://www.justwatch.com/in/tv-show/farzi
Jujutsu Kaisen  (2020),2020,series,"Netflix, Crunchyroll",8.6,108k,"Fantasy, Mystery and Thriller, Animation, Action and Adventure, Science-Fiction",23,,"Japan, United States",https://www.justwatch.com/in/tv-show/jujutsu-kaisen
Halo  (2022),2022,series,Jio Cinema,7.3,84k,"Action and Adventure, Science-Fiction, Mystery and Thriller, War and Military",52,,United States,https://www.justwatch.com/in/tv-show/halo
Avatar: The Last Airbender  (2005),2005,series,,9.3,364k,"Action and Adventure, Science-Fiction, Animation, Kids and Family, Fantasy",24,U,United States,https://www.justwatch.com/in/tv-show/avatar-the-last-airbender-2005
Criminal Justice  (2019),2019,series,Hotstar,8.1,19k,"Drama, Mystery and Thriller, Crime",50,,India,https://www.justwatch.com/in/tv-show/criminal-justice-2019
Indian Police Force  (2024),2024,series,Amazon Prime Video,5.1,57k,"Crime, Action and Adventure",38,A,India,https://www.justwatch.com/in/tv-show/indian-police-force
Yellowstone  (2018),2018,series,Netflix,8.7,214k,"Drama, Western",50,,United States,https://www.justwatch.com/in/tv-show/yellowstone
The Gentlemen  (2024),2024,series,Netflix,8.4,19k,"Action and Adventure, Comedy, Crime, Drama",50,A,"United States, United Kingdom",https://www.justwatch.com/in/tv-show/the-gentlemen
Reacher  (2022),2022,series,Amazon Prime Video,8.1,204k,"Drama, Mystery and Thriller, Action and Adventure, Crime",48,A,United States,https://www.justwatch.com/in/tv-show/jack-reacher
The Twelve  (2019),2019,series,"Netflix, Amazon Prime Video",7.4,6k,"Drama, Mystery and Thriller",54,,Belgium,https://www.justwatch.com/in/tv-show/the-twelve
Supersex  (2024),2024,series,Netflix,6.1,1k,"Drama, History",50,,Italy,https://www.justwatch.com/in/tv-show/supersex
Aashram  (2020),2020,series,MX Player,7.4,32k,"Crime, Drama, Mystery and Thriller",43,,India,https://www.justwatch.com/in/tv-show/aashram
Scam 1992  (2020),2020,series,Sony Liv,9.3,150k,"Crime, Drama, Mystery and Thriller",52,,India,https://www.justwatch.com/in/tv-show/scam-1992
Money Heist  (2017),2017,series,Netflix,8.2,527k,"Drama, Mystery and Thriller, Action and Adventure, Crime, Made in Europe",50,,Spain,https://www.justwatch.com/in/tv-show/paperhouse
Loki  (2021),2021,series,Hotstar,8.2,407k,"Fantasy, Science-Fiction, Action and Adventure, Drama",49,,United States,https://www.justwatch.com/in/tv-show/loki
Euphoria  (2019),2019,series,Jio Cinema,8.3,236k,Drama,58,A,United States,https://www.justwatch.com/in/tv-show/euphoria
The Rookie  (2018),2018,series,,8.0,68k,"Drama, Comedy, Action and Adventure, Crime",43,,United States,https://www.justwatch.com/in/tv-show/the-rookie
The Family Man  (2019),2019,series,Amazon Prime Video,8.7,97k,"Comedy, Drama, Action and Adventure",45,,India,https://www.justwatch.com/in/tv-show/the-family-man
Lucifer  (2016),2016,series,Netflix,8.1,353k,"Crime, Science-Fiction, Drama, Fantasy",47,U,United States,https://www.justwatch.com/in/tv-show/lucifer
Gandii Baat  (2018),2018,series,Alt Balaji,3.4,2k,"Crime, Drama, Mystery and Thriller",44,A,India,https://www.justwatch.com/in/tv-show/gandii-baat
Gullak  (2019),2019,series,Sony Liv,9.1,21k,"Comedy, Drama, Kids and Family",29,,India,https://www.justwatch.com/in/tv-show/gullak
Bigg Boss  (2006),2006,series,,3.7,3k,"Reality TV, Kids and Family",75,,India,https://www.justwatch.com/in/tv-show/bigg-boss
The Indrani Mukerjea Story: Buried Truth  (2024),2024,series,Netflix,6.3,1k,"Documentary, Crime",46,,India,https://www.justwatch.com/in/tv-show/the-indrani-mukerjea-story-buried-truth
